wordId,englishWord,pa,chineseWord,englishInstance1,chineseInstance1,englishInstance2,chineseInstance2,collect,pron,fatherId
c78b04a7-e753-3af5-8acc-6a045aa5be3c,economy,ɪˈkɒnəmi,节约；经济；理财；秩序,The economy slid from recession to depression .,经济问题优先于所有其他问题。,Economy precedes every other problem .,他们的国家经济停滞不前。,0,http://res.iciba.com/resource/amp3/oxford/0/d7/e7/d7e7e64857573042f7dffe03d7342434.mp3,
cf8c8bd2-ca8d-308b-9d24-ea0422db8840,economic,ˌi:kəˈnɒmɪk,经济的；经济学的；合算的；有经济效益的,Mother works economic advantages accrue .,法律是经济状况的反映。,Law is the reflection of economic conditions .,军事化的经济背景正在改变。,0,http://res.iciba.com/resource/amp3/oxford/0/e5/11/e511d1c5e6411cf93e21aec5824fef32.mp3,
ad5748df-0b9d-39fa-baa8-439d0a280877,economist,ɪˈkɒnəmɪst,经济学家，经济专家；,I lay no claim to being an expert economist .,经济学家经常碰到的是求整体极值。,Economists are usually interested in global extrema .,经济学家一般都鼓吹国际贸易是经济发展的动力。,0,http://res.iciba.com/resource/amp3/oxford/0/29/39/29393c8a2ba9dbebc090af9fc8436f99.mp3,
123db330-09f8-34eb-92ae-2aa08354d4e0,economize,ɪˈkɒnəmaɪz,节省，减少开支；有效地利用；,I 'd rather economize on clothes than food .,我们必须节约燃料。,We must economize on fuel .,达华节水设备工程有限公司,0,http://res.iciba.com/resource/amp3/oxford/0/32/70/3270ba9052d4feb07b83b81a26de9215.mp3,
565603d2-68a6-358a-8841-ee3b3905b6d4,econometrics,ɪˌkɒnə'metrɪks,计量经济学；,Econometrics deals with measurable and measured quantities in economics .,对贸易弹性的估计是计量经济学直接触及到政策判断的一个领域。,The estimation of trade elasticities is an area in which econometrics meets head-on with policy judgments .,数量经济学在存款保险制度中的应用及借鉴,0,http://res.iciba.com/resource/amp3/0/0/12/33/123390da80ce8c940cfb9300264af5b0.mp3,
41c65853-14f6-39ca-a641-7b539fcd374d,economical,ˌi:kəˈnɒmɪkl,节约的；经济的；合算的；,It 's more economical to use gas than coal ..,这是一种非常省钱的蒙混办法。,This was a most economical way to get over it .,“咱们今天不要节省，”伯莎大声说，“我根本不在乎。”,0,http://res.iciba.com/resource/amp3/oxford/0/a3/37/a337fcfad366249a6016eef0acbbb0d2.mp3,
1c434479-72cd-3c20-96be-3cb4e058afda,economics,ˌi:kəˈnɒmɪks,经济学；经济，国家的经济状况；,Economics is a nomothetic science .,经济学关心货币和信贷。,Economics interests itself in money and credit .,这一实践往往是根据经济决定的。,0,http://res.iciba.com/resource/amp3/oxford/0/3c/be/3cbe1133b4b0c5ea32e69ad68c74bc52.mp3,
6d6a9861-3bf7-3c09-bcf5-d5c4c32214c4,economizer,i:'kɒnəmaɪzə,节约者，节约装置，经济家；,Punching press cracking of economizer expansion plate,涡旋压缩机经济器系统的性能分析,Thermodynamic bebavior of scroll compressor with economizer for heat pump,电站锅炉省煤器设计与改造对过热汽温的影响,0,http://res.iciba.com/resource/amp3/0/0/b3/48/b34829507f8a97a4f3503ba279b4ea24.mp3,
11af39c9-44eb-305b-9810-48a991f784e3,economically,ˌi:kəˈnɒmɪkli,节约地；节省地；经济地；在经济上,Economically minable limestone does not occur so frequently .,许多穷人都没有经过职业训练，居住在经济停滞的地区。,"Many of the poor are untrained, stuck in economically stagnant areas .",两种改进还需针对可得到的设备进行具体分析，以证明它在经济上是合算的。,0,http://res.iciba.com/resource/amp3/oxford/0/1a/64/1a64480906fb426650ca8df2d54a1554.mp3,
87d4c85b-6eb9-3145-a79e-6f6314fb48ad,age,eɪdʒ,年龄；时代；老年；年龄段（使）长大；使显老；使变老；使苍老[化学]老化；陈化，熟化；（吸毒者随年龄增长而主动）戒毒，戒除毒品；[化学]使老化；使陈化；使熟化；估计，推测（马的年龄）,Old age has not dimmed her memory .,未满5岁儿童免费。,Children under five years of age are not charged .,青春只是偶尔认识老年。,0,http://res.iciba.com/resource/amp3/oxford/0/e4/16/e416f9604d0a9ca48109f014d3c06587.mp3,
